ID	E	EFINP	NOT	NFP	IAD	text
1	1	0	0	0	0	Suveren mørkemannsdisco
2	1	0	0	0	0	Canadiske Arcade Fire inntar dansegulvet med en av årets beste plater .
3	1	0	1	0	1	Etter to måneder med mildt sagt obskur og forvirrende markedsføring , som mystiske tegninger malt på vegger verden over , lange geriljakonserter under navnet The Reflektors , og humoristiske videoklipp på Youtube , er Arcade Fires etterlengtede fjerdealbum endelig her .
4	0	0	0	0	0	Oppbygningen og veien mot slippet har vært så intens og forventningsfylt at selve platen lå an til å bli en skuffelse .
5	1	0	0	0	0	Det er da man priser seg lykkelig over at Arcade Fire har laget det som kanskje er et av de mest ambisiøse og storslåtte verkene på denne siden av 2010 .
6	1	0	0	0	1	Punktum .
7	1	0	0	0	0	Man vil ikke bli skuffet om man likte « The Suburbs » , platen hvor de vant det kommersielle publikum og mot alle odds endte opp med å få en Grammy-pris .
8	0	0	0	0	0	Én ting har likevel endret seg :
9	1	0	0	0	1	« The Reflektor » viser et band som er mer dansbart enn noensinne .
10	0	0	0	0	0	James Murphy , eks-frontmann i LCD
11	0	0	0	0	0	Soundsystem og en forkjemper for bass— og trommetung disko , har fungert som produsent på platen .
12	0	0	0	0	0	Han har definitivt satt dype spor .
13	1	0	0	0	0	Perkusjonen er langt mer levende og energisk enn før , og sangene er tunge på synthen .
14	0	0	0	0	0	« Afterlife » kan bokstavelig talt sees som en hommage til LCD Soundsystem - likheten er påfallende .
15	1	0	0	0	0	Kunststykket er at Arcade Fire fortsatt er seg selv , og låter som « We Exist » , « It's Never Over ( Oh Orpheus ) » , « You Already Know » kunne like godt ha dukket opp på en av deres forrige plater .
16	1	0	0	0	1	Selv når bandet viser frem tydelig inspirasjon fra haitisk ra-ra-musikk på « Here Come The Night Time » , høres det ut som Arcade Fire .
17	1	0	0	0	0	Bandet har med « The Reflektor » tatt ting til et helt nytt nivå og ærlig talt er jeg bekymret for hvordan de noen gang kan komme til å overgå dette .
